sp	x	y
Conium_maculatum_Native	-4.82	37.84
Conium_maculatum_Native	-4.84	38.74
Conium_maculatum_Native	-3.64944	40.22694
Conium_maculatum_Native	9.15	41.38333
Conium_maculatum_Native	-2.762	42.556
Conium_maculatum_Native	-2.626	42.916
Conium_maculatum_Native	3.62621	46.7645
Conium_maculatum_Native	3.46469	46.8137
Conium_maculatum_Native	3.27334	46.8646
Conium_maculatum_Native	3.09221	47.0176
Conium_maculatum_Native	1.64331	48.0519
Conium_maculatum_Native	3.72252	48.2556
Conium_maculatum_Native	2.39086	48.4391
Conium_maculatum_Native	1.96675	48.6847
Conium_maculatum_Native	9.96	49.77
Conium_maculatum_Native	-5.13957	49.992
Conium_maculatum_Native	-5.01148	50.17534
Conium_maculatum_Native	-4.87701	50.26871
Conium_maculatum_Native	-5.16322	50.35124
Conium_maculatum_Native	-4.74201	50.36194
Conium_maculatum_Native	-4.03948	50.37639
Conium_maculatum_Native	-3.61772	50.38302
Conium_maculatum_Native	-5.02857	50.44479
Conium_maculatum_Native	-4.89338	50.5382
Conium_maculatum_Native	-4.75242	50.54162
Conium_maculatum_Native	-3.48272	50.56471
Conium_maculatum_Native	-1.92938	50.57413
Conium_maculatum_Native	-3.76838	50.65067
Conium_maculatum_Native	-3.20266	50.65789
Conium_maculatum_Native	-3.63009	50.74263
Conium_maculatum_Native	-3.48839	50.74453
Conium_maculatum_Native	-4.48462	50.8175
Conium_maculatum_Native	-4.05901	50.8258
Conium_maculatum_Native	-3.9171	50.82821
Conium_maculatum_Native	4.67456	50.891
Conium_maculatum_Native	5.1377	50.96529
Conium_maculatum_Native	5.30275	51.03152
Conium_maculatum_Native	-0.86525	51.06779
Conium_maculatum_Native	2.56313	51.09335
Conium_maculatum_Native	3.42758	51.35221
Conium_maculatum_Native	-2.5396	51.44076
Conium_maculatum_Native	-3.65558	51.46179
Conium_maculatum_Native	-1.20493	51.65063
Conium_maculatum_Native	-2.94147	51.73948
Conium_maculatum_Native	0.97321	51.79557
Conium_maculatum_Native	0.68351	51.80254
Conium_maculatum_Native	-2.65311	51.83135
Conium_maculatum_Native	1.2693	51.87766
Conium_maculatum_Native	0.83401	51.88895
Conium_maculatum_Native	1.28241	52.0572
Conium_maculatum_Native	0.99711	52.15475
Conium_maculatum_Native	0.12498	52.26363
Conium_maculatum_Native	-2.17513	52.26778
Conium_maculatum_Native	0.56939	52.34472
Conium_maculatum_Native	0.27601	52.35074
Conium_maculatum_Native	-2.22125	52.55228
Conium_maculatum_Native	-2.83744	52.80352
Conium_maculatum_Native	11.2487	53.1485
Conium_maculatum_Native	-1.32659	53.17991
Conium_maculatum_Native	11.2487	53.2485
Conium_maculatum_Native	12.9151	53.2485
Conium_maculatum_Native	-0.2722	53.3491
Conium_maculatum_Native	-1.32233	53.44958
Conium_maculatum_Native	11.2487	53.5485
Conium_maculatum_Native	-3.01364	53.64498
Conium_maculatum_Native	11.9152	53.6485
Conium_maculatum_Native	13.9149	53.6485
Conium_maculatum_Native	11.4153	53.7485
Conium_maculatum_Native	11.582	53.7485
Conium_maculatum_Native	11.9152	53.7485
Conium_maculatum_Native	11.4153	53.8485
Conium_maculatum_Native	11.582	53.8485
Conium_maculatum_Native	11.7486	53.8485
Conium_maculatum_Native	11.9152	53.8485
Conium_maculatum_Native	11.4153	53.9484
Conium_maculatum_Native	11.5819	53.9484
Conium_maculatum_Native	11.7486	53.9484
Conium_maculatum_Native	11.9152	53.9484
Conium_maculatum_Native	13.5816	53.9485
Conium_maculatum_Native	11.082	54.0484
Conium_maculatum_Native	11.5819	54.0484
Conium_maculatum_Native	11.9152	54.0484
Conium_maculatum_Native	12.4151	54.0484
Conium_maculatum_Native	12.5818	54.0484
Conium_maculatum_Native	13.5816	54.0485
Conium_maculatum_Native	13.7483	54.0485
Conium_maculatum_Native	12.5818	54.1484
Conium_maculatum_Native	12.5818	54.2484
Conium_maculatum_Native	13.0817	54.3484
Conium_maculatum_Native	-1.61365	54.52953
Conium_maculatum_Native	-1.45673	54.70869
Conium_maculatum_Native	-1.45431	54.88843
Conium_maculatum_Native	-1.4531	54.9783
Conium_maculatum_Native	14.5492	56.0612
Conium_maculatum_Native	16.4341	56.5336
Conium_maculatum_Native	15.8322	56.5777
Conium_maculatum_Native	11.7794	57.5823
Conium_maculatum_Native	7.97063	58.15378
Conium_maculatum_Native	13.5129	58.3539
Conium_maculatum_Native	14.0272	58.6063
Conium_maculatum_Native	16.9457	58.6288
Conium_maculatum_Native	9.14504	58.65183
Conium_maculatum_Native	13.1649	58.6533
Conium_maculatum_Native	17.4672	58.7354
Conium_maculatum_Native	16.9925	58.7406
Conium_maculatum_Native	17.2101	58.7833
Conium_maculatum_Native	16.7359	58.8325
Conium_maculatum_Native	17.4726	58.8476
Conium_maculatum_Native	16.5633	58.8561
Conium_maculatum_Native	17.8215	58.8875
Conium_maculatum_Native	17.258	58.895
Conium_maculatum_Native	17.5203	58.9367
Conium_maculatum_Native	16.8692	58.9437
Conium_maculatum_Native	16.6961	58.9675
Conium_maculatum_Native	16.1312	58.9701
Conium_maculatum_Native	17.8701	58.9765
Conium_maculatum_Native	16.4806	59.0585
Conium_maculatum_Native	17.222	59.075
Conium_maculatum_Native	18.4449	59.1008
Conium_maculatum_Native	17.8346	59.1118
Conium_maculatum_Native	16.7438	59.1242
Conium_maculatum_Native	18.1444	59.1739
Conium_maculatum_Native	9.6372	59.18021
Conium_maculatum_Native	17.5775	59.2053
Conium_maculatum_Native	17.9288	59.2225
Conium_maculatum_Native	17.4047	59.2525
Conium_maculatum_Native	17.1857	59.255
Conium_maculatum_Native	16.8358	59.2806
Conium_maculatum_Native	16.2219	59.2841
Conium_maculatum_Native	18.1537	59.3085
Conium_maculatum_Native	16.5303	59.35
Conium_maculatum_Native	16.3553	59.3958
Conium_maculatum_Native	16.7519	59.4159
Conium_maculatum_Native	17.1049	59.4353
Conium_maculatum_Native	15.1889	60.1539
Conium_maculatum_Native	-4.03	38.56
Conium_maculatum_Native	-4.26	39.81
Conium_maculatum_Native	-1.46	40.95
Conium_maculatum_Native	-2.42	41.17
Conium_maculatum_Native	-3.75	41.29
Conium_maculatum_Native	10.87	48.02
Conium_maculatum_Native	1.73551	48.1838
Conium_maculatum_Native	2.12815	48.502
Conium_maculatum_Native	12.12	49.32
Conium_maculatum_Native	-5.43739	50.25348
Conium_maculatum_Native	-5.29734	50.25754
Conium_maculatum_Native	-3.62387	50.56283
Conium_maculatum_Native	-2.21226	50.6639
Conium_maculatum_Native	5.1843	50.78068
Conium_maculatum_Native	-2.92326	50.84031
Conium_maculatum_Native	-3.49412	50.92434
Conium_maculatum_Native	0.92124	50.9873
Conium_maculatum_Native	-1.92814	51.38353
Conium_maculatum_Native	0.69424	51.98218
Conium_maculatum_Native	1.13676	52.06117
Conium_maculatum_Native	-0.02944	52.08645
Conium_maculatum_Native	-0.02148	52.26617
Conium_maculatum_Native	1.00924	52.33433
Conium_maculatum_Native	0.42271	52.34782
Conium_maculatum_Native	-2.88897	52.38281
Conium_maculatum_Native	0.13362	52.44333
Conium_maculatum_Native	-2.75859	52.49161
Conium_maculatum_Native	-3.09844	52.5339
Conium_maculatum_Native	-2.07375	52.55246
Conium_maculatum_Native	-2.87857	52.59867
Conium_maculatum_Native	-2.53425	52.63714
Conium_maculatum_Native	-2.71704	52.65371
Conium_maculatum_Native	-3.01581	52.78639
Conium_maculatum_Native	-3.04871	52.92097
Conium_maculatum_Native	11.4153	53.2485
Conium_maculatum_Native	12.5818	53.3485
Conium_maculatum_Native	13.415	53.3485
Conium_maculatum_Native	-2.79645	53.35895
Conium_maculatum_Native	-1.32376	53.35969
Conium_maculatum_Native	11.2487	53.4485
Conium_maculatum_Native	12.4152	53.4485
Conium_maculatum_Native	-1.47292	53.45034
Conium_maculatum_Native	-3.00935	53.46522
Conium_maculatum_Native	12.9151	53.8485
Conium_maculatum_Native	13.415	53.9485
Conium_maculatum_Native	-6.83889	54.61756
Conium_maculatum_Native	-3.334	55.15197
Conium_maculatum_Native	12.99427	55.52825
Conium_maculatum_Native	13.07933	55.68817
Conium_maculatum_Native	-4.31146	55.7666
Conium_maculatum_Native	-2.73465	56.6847
Conium_maculatum_Native	-3.57	37.95
Conium_maculatum_Native	-3.99	39.84
Conium_maculatum_Native	-4.11	41.75
Conium_maculatum_Native	4.05867	46.4099
Conium_maculatum_Native	10.21	47.92
Conium_maculatum_Native	12.60144	48.84069
Conium_maculatum_Native	12.29	48.92
Conium_maculatum_Native	6.45	49.71
Conium_maculatum_Native	6.13	49.91
Conium_maculatum_Native	-5.27887	49.98814
Conium_maculatum_Native	10.79	50.22
Conium_maculatum_Native	10.96	50.22
Conium_maculatum_Native	10.79	50.32
Conium_maculatum_Native	-4.32056	50.37112
Conium_maculatum_Native	-2.63676	50.66235
Conium_maculatum_Native	-2.35376	50.66355
Conium_maculatum_Native	-2.21307	50.84377
Conium_maculatum_Native	-2.78425	51.0212
Conium_maculatum_Native	-2.64167	51.02207
Conium_maculatum_Native	-2.92862	51.11008
Conium_maculatum_Native	-3.07355	51.19877
Conium_maculatum_Native	-2.7873	51.20105
Conium_maculatum_Native	-2.64417	51.20192
Conium_maculatum_Native	-2.93775	51.55965
Conium_maculatum_Native	-2.7935	51.56072
Conium_maculatum_Native	0.82277	51.70933
Conium_maculatum_Native	1.11802	51.79181
Conium_maculatum_Native	1.42115	51.96329
Conium_maculatum_Native	0.9851	51.97516
Conium_maculatum_Native	1.57359	52.04872
Conium_maculatum_Native	0.84538	52.06857
Conium_maculatum_Native	0.55388	52.07525
Conium_maculatum_Native	0.40809	52.07832
Conium_maculatum_Native	0.26227	52.08121
Conium_maculatum_Native	0.11643	52.08392
Conium_maculatum_Native	11.63667	52.12305
Conium_maculatum_Native	1.43491	52.1428
Conium_maculatum_Native	0.70508	52.16181
Conium_maculatum_Native	1.588	52.2282
Conium_maculatum_Native	1.29565	52.23673
